Labor Pool Desc,Job Title,Job Class Description,Job Family Description,Job Function Description,Job Category Desc
SCI / ENG 125000 - 139999.99,Scientist 2,Research&Development,Science&Engineering,Scientist,Research&Development
,Contractor,,,,
,Contractor,,,,
,Guest Scientist,,,,
TECHNICIAN 65000 - 79999.99,Computing Systems Tec 3,Technician,Infrastructure,Computing Systems Tec,Information Technology
STUDENT 65000 - 79999.99,Post Bachelors HPC ST,PostDoc and Student,Technical Student,Post Bachelors HPC ST,Student
STUDENT 35000 - 49999.99,Undergrad Student SA 2,PostDoc and Student,Administrative Student,Undergrad Student SA,Student
STUDENT 35000 - 49999.99,Undergrad Student ST 2,PostDoc and Student,Technical Student,Undergrad Student ST,Student
STUDENT 65000 - 79999.99,Undergrad Student HPC ST 2,PostDoc and Student,Technical Student,Undergrad Student HPC ST 2,Student
,Visitor,,,,
STUDENT 35000 - 49999.99,Undergrad Student ST 2,PostDoc and Student,Technical Student,Undergrad Student ST,Student
STUDENT 50000 - 64999.99,Undergrad Student HPC ST 2,PostDoc and Student,Technical Student,Undergrad Student HPC ST 2,Student
STUDENT 80000 - 94999.99,Graduate Student HPC ST 2,PostDoc and Student,Technical Student,Graduate Student HPC ST 2,Student
STUDENT 65000 - 79999.99,Undergrad Student HPC ST 2,PostDoc and Student,Technical Student,Undergrad Student HPC ST 2,Student
STUDENT 65000 - 79999.99,Undergrad Student HPC ST 2,PostDoc and Student,Technical Student,Undergrad Student HPC ST 2,Student
,Visitor,,,,
,Contractor,,,,
,Visitor,,,,
,Visitor,,,,
,Contractor,,,,
,Contractor,,,,
STUDENT 65000 - 79999.99,Post Bachelors HPC ST,PostDoc and Student,Technical Student,Post Bachelors HPC ST,Student
STUDENT 65000 - 79999.99,Post Bachelors HPC ST,PostDoc and Student,Technical Student,Post Bachelors HPC ST,Student
,Contractor,,,,
SCI / ENG 140000 - 154999.99,Scientist 2,Research&Development,Science&Engineering,Scientist,Research&Development
,Contractor,,,,
,Contractor,,,,
STUDENT 65000 - 79999.99,Post Bachelors HPC ST,PostDoc and Student,Technical Student,Post Bachelors HPC ST,Student
,Visitor,,,,
,Contractor,,,,
,Guest Scientist,,,,
,Visitor,,,,
STUDENT 35000 - 49999.99,Undergrad Student ST 2,PostDoc and Student,Technical Student,Undergrad Student ST,Student
,Contractor,,,,
,Visitor,,,,
,Contractor,,,,
,Contractor,,,,
,Contractor,,,,
,Contractor,,,,
,Contractor,,,,
,Contractor,,,,
,Contractor,,,,
,Visitor,,,,
SCI / ENG 125000 - 139999.99,Scientist 2,Research&Development,Science&Engineering,Scientist,Research&Development
PROFESSIONAL 80000 - 94999.99,Professional Staff Assistant 1,Professional,Administrative Support,Professional Staff Assistant,Administration
,Contractor,,,,
,Contractor,,,,
,Contractor,,,,
,Contractor,,,,
,Contractor,,,,
,Contractor,,,,
,Contractor,,,,
,Contractor,,,,
,Contractor,,,,
SUPPORT 65000 - 79999.99,Administrative Assistant 4,Support,Administrative Support,Administrative Assistant,Administration
,Contractor,,,,
,Visitor,,,,
SCI / ENG 140000 - 154999.99,Scientist 2,Research&Development,Science&Engineering,Scientist,Research&Development
,Scientist 3,Research&Development,Science&Engineering,Scientist,Research&Development
,Contractor,,,,
,Contractor,,,,
